,Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $)
Malta, 28 030,26940,27340,26060,24520,25140,22650,21480,20070,19690,19600,19450,18450,18590,17200,16000,15610,14700,15540,14530,13840,13190,12600,11740
Marshall Islands, 4 620,4500,4260,4110,4010,4100,4120,3890,3740,3480,3400,3360,3290,3060,2820,2780,2750,2850,3280,,,,,
Mauritania, 2 850,2740,2610,2560,2590,2650,2560,2460,2190,2010,1910,1920,1730,1760,1800,1690,1640,1740,1590,1450,1490,1430,1410,1350
Mauritius, 17 220,16540,15800,15120,14180,13900,13280,12040,11220,10810,10010,9640,9380,8950,8120,7890,7450,6980,6590,6230,5990,5650,5250,4860
Mexico, 16 110,15910,15650,14590,13780,14030,13330,12840,11750,10860,10270,10060,10000,9990,9400,8940,8610,7980,7600,8560,8190,6390,6150,5800
Micronesia (Federated States of), 3 840,3670,3540,3390,3330,3160,3200,3150,3050,2870,2840,2740,2680,2580,2410,2340,2410,2390,2450,2380,2380,,,
Mongolia, 8 810,7670,6770,5780,5730,5920,5450,4940,4440,4120,3660,3400,3230,3090,3030,2920,2790,2660,2560,2370,2250,2330,2580,2740
Montenegro, 14 600,13760,14250,13230,13180,14090,12580,10680,8470,8210,7720,7380,7100,6880,,,,,,,,,,
Morocco, 7 000,6660,6490,6190,5960,5760,5420,5190,4720,4460,4170,3870,3720,3420,3340,3320,3060,3120,2760,2940,2640,2670,2760,2550
Mozambique, 1 040,980,910,860,800,730,690,630,610,560,520,500,450,410,410,380,350,320,290,290,270,260,280,260
