incidence_tb,incidence_tb_HIV,incidence_tb_100000,incidence_tb_HIV_100000
1 800 ,210 ,5.4 ,0.66 
1 800 ,210 ,5.5 ,0.66 
1 800 ,200 ,5.6 ,0.64 
1 900 ,210 ,5.9 ,0.66 
1 900 ,210 ,6.1 ,0.67 
2 000 ,220 ,6.6 ,0.7 
2 000 ,210 ,6.5 ,0.67 
19 000 ,8 600 ,391 ,176 
18 000 ,8 300 ,375 ,173 
17 000 ,8 000 ,359 ,170 
17 000 ,8 500 ,378 ,184 
18 000 ,9 100 ,402 ,200 
19 000 ,9 800 ,431 ,221 
20 000 ,11 000 ,467 ,245 
22 000 ,12 000 ,511 ,273 
24 000 ,13 000 ,561 ,308 
26 000 ,14 000 ,620 ,350 
28 000 ,16 000 ,687 ,398 
30 000 ,18 000 ,762 ,454 
33 000 ,20 000 ,842 ,513 
36 000 ,22 000 ,923 ,574 
38 000 ,24 000 ,1001 ,632 
40 000 ,26 000 ,1073 ,685 
21 000 ,6 400 ,152 ,45 
22 000 ,6 700 ,159 ,49 
20 000 ,6 300 ,151 ,48 
19 000 ,6 400 ,151 ,50 
19 000 ,6 400 ,151 ,52 
18 000 ,6 300 ,151 ,53 
17 000 ,6 200 ,151 ,54 
17 000 ,6 100 ,151 ,55 
16 000 ,6 100 ,151 ,56 
16 000 ,6 000 ,151 ,57 
15 000 ,5 900 ,151 ,58 
15 000 ,5 700 ,151 ,59 
14 000 ,5 500 ,152 ,59 
14 000 ,5 300 ,152 ,59 
13 000 ,5 000 ,152 ,57 
13 000 ,4 600 ,151 ,55 
3 000 ,150 ,16 ,0.82 
2 700 ,130 ,15 ,0.75 
2 800 ,130 ,16 ,0.74 
2 800 ,130 ,16 ,0.72 
2 800 ,120 ,16 ,0.73 
2 700 ,120 ,16 ,0.69 
2 800 ,110 ,16 ,0.68 
2 800 ,110 ,17 ,0.68 
2 800 ,110 ,17 ,0.66 
2 900 ,110 ,18 ,0.68 
2 900 ,100 ,18 ,0.65 
3 100 ,110 ,19 ,0.67 
2 600 ,87 ,16 ,0.55 
2 800 ,91 ,18 ,0.59 
3 500 ,110 ,23 ,0.71 
3 500 ,110 ,23 ,0.7 
918 000 ,15 000 ,67 ,1.1 
942 000 ,15 000 ,69 ,1.1 
974 000 ,15 000 ,72 ,1.1 
1 020 000 ,16 000 ,76 ,1.2 
1 030 000 ,15 000 ,77 ,1.1 
1 040 000 ,15 000 ,78 ,1.1 
1 110 000 ,16 000 ,83 ,1.2 
1 120 000 ,16 000 ,85 ,1.2 
1 130 000 ,16 000 ,86 ,1.2 
1 170 000 ,16 000 ,89 ,1.2 
1 200 000 ,16 000 ,92 ,1.2 
1 230 000 ,16 000 ,95 ,1.2 
1 270 000 ,16 000 ,98 ,1.2 
1 310 000 ,16 000 ,102 ,1.2 
1 340 000 ,15 000 ,105 ,1.2 
1 380 000 ,15 000 ,109 ,1.2 
15 000 ,2 100 ,31 ,4.4 
15 000 ,2 100 ,30 ,4.3 
15 000 ,2 200 ,31 ,4.6 
15 000 ,2 500 ,32 ,5.3 
15 000 ,2 600 ,32 ,5.5 
14 000 ,2 200 ,31 ,4.9 
14 000 ,1 800 ,31 ,3.9 
14 000 ,1 200 ,32 ,2.8 
14 000 ,780 ,31 ,1.8 
14 000 ,630 ,32 ,1.4 
13 000 ,700 ,30 ,1.6 
14 000 ,730 ,33 ,1.7 
15 000 ,720 ,35 ,1.7 
14 000 ,670 ,34 ,1.6 
14 000 ,640 ,35 ,1.6 
15 000 ,620 ,36 ,1.5 
270 ,9 ,35 ,1.1 
270 ,9 ,35 ,1.1 
260 ,8 ,34 ,1.1 
250 ,8 ,34 ,1.1 
250 ,3 ,34 ,0.46 
230 ,1 ,33 ,0.12 
230 ,0 ,33 ,0.04 
230 ,0 ,34 ,0.03 
230 ,1 ,35 ,0.13 
230 ,4 ,36 ,0.63 
220 ,4 ,36 ,0.65 
220 ,0 ,36 ,0.04 
220 ,,37 ,
220 ,,37 ,
210 ,,38 ,
210 ,,39 ,
18 000 ,6 400 ,379 ,138 
17 000 ,6 300 ,381 ,140 
17 000 ,6 200 ,382 ,142 
16 000 ,6 100 ,382 ,143 
16 000 ,6 000 ,383 ,144 
16 000 ,6 000 ,386 ,147 
16 000 ,6 000 ,393 ,152 
15 000 ,6 100 ,403 ,159 
15 000 ,6 200 ,413 ,167 
15 000 ,6 300 ,422 ,175 
15 000 ,6 400 ,426 ,182 
14 000 ,6 400 ,423 ,186 
14 000 ,6 300 ,413 ,188 
13 000 ,6 100 ,398 ,187 
12 000 ,5 800 ,379 ,183 
11 000 ,5 500 ,356 ,177 
2 ,0 ,7.8 ,0.01 
3 ,0 ,12 ,0.01 
2 ,0 ,11 ,0.01 
1 ,0 ,5.6 ,0.01 
1 ,0 ,5.6 ,0.01 
0 ,,0,
2 ,,11 ,
2 ,,11 ,
2 ,,8.7 ,
1 ,,5.9 ,
1 ,,5.9 ,
1 ,,6.0 ,
0 ,,0,
1 ,,6.3 ,
2 ,,13 ,
1 ,,6.5 ,
530 ,41 ,11 ,0.86 
580 ,50 ,12 ,1.1 
510 ,48 ,11 ,1 
590 ,57 ,13 ,1.2 
640 ,61 ,14 ,1.3 
620 ,57 ,14 ,1.3 
550 ,50 ,12 ,1.1 
630 ,56 ,14 ,1.3 
690 ,69 ,16 ,1.6 
610 ,61 ,14 ,1.4 
670 ,59 ,16 ,1.4 
890 ,64 ,21 ,1.5 
680 ,35 ,17 ,0.86 
680 ,33 ,17 ,0.81 
790 ,35 ,20 ,0.88 
730 ,30 ,19 ,0.77 
560 ,6 ,13 ,0.15 
570 ,6 ,13 ,0.15 
590 ,6 ,14 ,0.15 
620 ,6 ,14 ,0.15 
710 ,7 ,17 ,0.16 
790 ,7 ,18 ,0.17 
960 ,8 ,22 ,0.19 
1 100 ,9 ,26 ,0.21 
1 100 ,9 ,25 ,0.2 
1 200 ,9 ,27 ,0.2 
1 200 ,9 ,28 ,0.2 
1 300 ,9 ,31 ,0.21 
1 600 ,10 ,36 ,0.23 
1 700 ,10 ,38 ,0.22 
1 600 ,9 ,36 ,0.2 
1 900 ,10 ,42 ,0.22 
800 ,74 ,7.0 ,0.65 
840 ,98 ,7.4 ,0.86 
870 ,100 ,7.7 ,0.91 
840 ,87 ,7.4 ,0.76 
930 ,48 ,8.2 ,0.42 
950 ,10 ,8.4 ,0.09 
820 ,4 ,7.2 ,0.04 
940 ,4 ,8.3 ,0.03 
880 ,3 ,7.8 ,0.03 
880 ,3 ,7.8 ,0.02 
890 ,2 ,7.9 ,0.02 
900 ,1 ,8.0 ,0.01 
970 ,1 ,8.6 ,0.01 
1 000 ,1 ,9.2 ,0.01 
1 100 ,1 ,9.5 ,0.01 
1 400 ,1 ,12 ,0.01 
72 ,1 ,6.2 ,0.12 
45 ,1 ,3.9 ,0.07 
47 ,1 ,4.1 ,0.07 
72 ,1 ,6.4 ,0.11 
59 ,1 ,5.3 ,0.09 
70 ,1 ,6.4 ,0.1 
59 ,1 ,5.4 ,0.08 
55 ,1 ,5.1 ,0.08 
47 ,1 ,4.4 ,0.06 
41 ,1 ,3.9 ,0.05 
39 ,0 ,3.8 ,0.05 
34 ,0 ,3.4 ,0.04 
40 ,0 ,4.0 ,0.05 
23 ,0 ,2.3 ,0.03 
46 ,0 ,4.8 ,0.05 
38 ,0 ,4.0 ,0.04 
550 ,6 ,5.2 ,0.06 
550 ,5 ,5.2 ,0.05 
540 ,5 ,5.1 ,0.05 
650 ,5 ,6.2 ,0.05 
650 ,5 ,6.2 ,0.05 
710 ,5 ,6.8 ,0.05 
730 ,4 ,6.9 ,0.04 
930 ,5 ,8.9 ,0.05 
910 ,5 ,8.8 ,0.04 
1 100 ,5 ,11 ,0.05 
1 100 ,5 ,11 ,0.05 
1 200 ,4 ,12 ,0.04 
1 300 ,4 ,13 ,0.04 
1 300 ,4 ,13 ,0.04 
1 500 ,4 ,14 ,0.04 
1 600 ,4 ,16 ,0.04 
141 000 ,450 ,561 ,1.8 
129 000 ,400 ,515 ,1.6 
122 000 ,370 ,490 ,1.5 
115 000 ,340 ,464 ,1.4 
114 000 ,330 ,464 ,1.3 
106 000 ,290 ,432 ,1.2 
95 000 ,260 ,392 ,1.1 
91 000 ,230 ,374 ,0.96 
74 000 ,180 ,305 ,0.75 
56 000 ,130 ,232 ,0.55 
53 000 ,120 ,224 ,0.5 
56 000 ,120 ,236 ,0.5 
62 000 ,120 ,263 ,0.52 
50 000 ,93 ,216 ,0.4 
37 000 ,63 ,159 ,0.27 
